"site_no","month_nu","area","runoff","Q","month","start_year","end_year","record_length"
11475560,1,16794000,284.562759614148,1.7842544,"Jan",1981,2010,30
11475560,2,16794000,256.846093993569,1.76651664,"Feb",1981,2010,30
11475560,3,16794000,226.802586752412,1.4220888,"Mar",1981,2010,30
11475560,4,16794000,127.539438713826,0.82634928,"Apr",1981,2010,30
11475560,5,16794000,65.8298855305466,0.412764,"May",1981,2010,30
11475560,6,16794000,31.3599835369775,0.20318656,"Jun",1981,2010,30
11475560,7,16794000,11.6107507652733,0.07280128,"Jul",1981,2010,30
11475560,8,16794000,5.86469379292605,0.036772576,"Aug",1981,2010,30
11475560,9,16794000,4.18866459163987,0.027139056,"Sep",1981,2010,30
11475560,10,16794000,8.78364135305466,0.055074848,"Oct",1981,2010,30
11475560,11,16794000,60.1894885659164,0.389977728,"Nov",1981,2010,30
11475560,12,16794000,253.41908866881,1.58897856,"Dec",1981,2010,30
11476600,1,71844300,320.44547405765,8.5954976,"Jan",1981,2010,30
11476600,2,71844300,293.281092682927,8.6358064,"Feb",1981,2010,30
11476600,3,71844300,242.225724168514,6.4973632,"Mar",1981,2010,30
11476600,4,71844300,122.001312638581,3.3815968,"Apr",1981,2010,30
11476600,5,71844300,46.3842483370288,1.244192,"May",1981,2010,30
11476600,6,71844300,22.5434394678492,0.62485248,"Jun",1981,2010,30
11476600,7,71844300,7.4865866075388,0.20081712,"Jul",1981,2010,30
11476600,8,71844300,3.04372874501109,0.081643728,"Aug",1981,2010,30
11476600,9,71844300,2.04870385809313,0.056785376,"Sep",1981,2010,30
11476600,10,71844300,6.52571473170732,0.175043088,"Oct",1981,2010,30
11476600,11,71844300,77.4392620842572,2.14643888,"Nov",1981,2010,30
11476600,12,71844300,274.475446208426,7.36241648,"Dec",1981,2010,30
11478500,1,572377000,263.032309037715,56.2102912,"Jan",1981,2010,30
11478500,2,572377000,236.945612649006,55.577056,"Feb",1981,2010,30
11478500,3,572377000,218.86906031011,46.7725568,"Mar",1981,2010,30
11478500,4,572377000,122.088257863611,26.9600736,"Apr",1981,2010,30
11478500,5,572377000,64.4593660561483,13.7750368,"May",1981,2010,30
11478500,6,572377000,22.538068485631,4.9769568,"Jun",1981,2010,30
11478500,7,572377000,5.07910932493793,1.0854112,"Jul",1981,2010,30
11478500,8,572377000,2.04803222849276,0.43766672,"Aug",1981,2010,30
11478500,9,572377000,2.16240972701559,0.47751296,"Sep",1981,2010,30
11478500,10,572377000,8.21766139953213,1.7561232,"Oct",1981,2010,30
11478500,11,572377000,87.6044402455025,19.3452032,"Nov",1981,2010,30
