STATION_NUMBER,Month,area_km2,runoff,Q
08BB005,1,16700,10.21641193,63.69999968
08BB005,2,16700,7.961801629,54.39565227
08BB005,3,16700,10.58041218,65.96956518
08BB005,4,16700,18.78980683,121.0608696
08BB005,5,16700,93.53829107,583.2173913
08BB005,6,16700,154.575246,995.9130435
08BB005,7,16700,144.8818454,903.3478261
08BB005,8,16700,119.220528,743.3478261
08BB005,9,16700,83.38803437,537.2608696
08BB005,10,16700,51.79649428,322.9545455
08BB005,11,16700,22.57664457,145.4590912
08BB005,12,16700,15.41137069,96.09090892
08CA001,1,3400,6.199183007,7.869333267
08CA001,2,3400,4.595361896,6.413333352
08CA001,3,3400,4.766501634,6.05066665
08CA001,4,3400,6.497425155,8.52285707
08CA001,5,3400,78.88900851,100.1428573
08CA001,6,3400,175.0144538,229.5714286
08CA001,7,3400,124.9169748,158.5714286
08CA001,8,3400,55.27294786,70.16428566
08CA001,9,3400,42.93136143,56.31428582
08CA001,10,3400,37.56512271,47.68571431
08CA001,11,3400,13.58621854,17.82142864
08CA001,12,3400,8.765007811,11.12642867
08CA002,1,7690,6.782493593,19.47333323
08CA002,2,7690,5.230499377,16.50066643
08CA002,3,7690,5.40672255,15.52333349
08CA002,4,7690,7.090321359,21.03571422
08CA002,5,7690,78.67768902,225.8928571
08CA002,6,7690,166.3155861,493.4285714
08CA002,7,7690,113.1714806,324.9285714
08CA002,8,7690,52.3215961,150.2214285
08CA002,9,7690,44.47521464,131.9500002
08CA002,10,7690,38.49422551,110.5214285
08CA002,11,7690,13.47281442,39.9714286
08CA002,12,7690,8.966146701,25.74285698
08CA003,1,2730,7.530915125,7.675999959
08CA003,2,2730,5.661046187,6.344666704
08CA003,3,2730,5.630853574,5.73933328
08CA003,4,2730,7.254480395,7.640714305
08CA003,5,2730,73.98186505,75.40714291
08CA003,6,2730,157.2697017,165.6428571
08CA003,7,2730,102.1744427,104.1428571
08CA003,8,2730,49.3142358,50.26428604
08CA003,9,2730,48.33381494,50.90714305
08CA003,10,2730,43.23142267,44.0642861
08CA003,11,2730,18.81946612,19.82142844
08CA003,12,2730,11.33239306,11.55071425
08CB001,1,18800,7.654335334,53.72666677
08CB001,2,18800,5.749092796,44.36000023
08CB001,3,18800,5.800350646,40.71333338
08CB001,4,18800,7.831148944,56.80000005
08CB001,5,18800,72.38396353,508.0714286
08CB001,6,18800,151.8368389,1101.285714
