"ID","Mean Bias","Max Error","MAE","RMSE","r_pear","r_spear","nse","name","area"
"08HA068",-0.85,-121.12,51.37,66.15,0.92,0.94,0.83,"GARBAGE CREEK NEAR THE MOUTH",2.3022
"08HB069",-16.77,-116.89,38.8,51.73,0.96,0.97,0.89,"CARNATION CREEK AT 150 M CONTOUR",2.4633
"08GA065",-45.07,-154.29,47.97,67.33,0.96,0.94,0.79,"NOONS CREEK AT MERIDIAN SUBSTATION ROAD",2.7279
"08GA061",-24.79,-117.37,28.5,44.84,0.95,0.94,0.82,"MACKAY CREEK AT MONTROYAL BOULEVARD",2.8683
"08FF006",-164.7,-407.19,164.7,204.74,0.63,0.68,-0.75,"RENEGADE CREEK NEAR KITIMAT",5.5395
"08HA026",16.17,30.68,16.17,19.07,0.99,0.99,0.64,"CUSHEON CREEK AT OUTLET OF CUSHEON LAKE",8.4177
"08EE028",-24.45,-89.55,24.45,35.59,0.95,0.99,0.69,"STATION CREEK ABOVE DIVERSIONS",10.0341
"08HB048",-2.21,-127.54,45.05,54.93,0.94,0.96,0.87,"CARNATION CREEK AT THE MOUTH",10.0485
"08HA069",-269.27,-747.97,269.27,367.76,0.88,0.91,0.06,"RENFREW CREEK NEAR PORT RENFREW",10.1799
"08HA072",32.41,163.28,36.99,59.91,0.87,0.87,0.55,"COTTONWOOD CREEK HEADWATERS",12.9609
"08HE008",95.92,300.15,102.8,137.46,0.82,0.88,-0.15,"ZEBALLOS RIVER AT MOOK PEAK",13.0383
"08EE012",-0.37,-43.17,13.1,18.33,0.96,0.96,0.9,"SIMPSON CREEK AT THE MOUTH",13.1787
"08EG017",-29.87,-88.57,38.28,47.28,0.75,0.69,-0.18,"DEEP CREEK ABOVE RESERVOIR",13.5252
"12147600",-38,-126.18,70.02,82.93,0.8,0.67,0.54,"SOUTH FORK TOLT RIVER NEAR INDEX, WA",14.1264
"12073500",14.99,55.66,26.56,31.42,0.97,0.97,-0.15,"HUGE CREEK NEAR WAUNA, WA",15.6726
"08HF013",27.05,156.57,64.62,78.52,0.86,0.87,0.7,"SIMPSON CREEK NEAR KOPRINO HARBOUR",16.7337
"11475560",45.73,98.46,45.73,57.17,0.98,0.99,0.72,"ELDER C NR BRANSCOMB CA",16.794
"08GF005",148.76,240.44,148.76,163.53,0.53,0.57,-21.28,"KIPPAN CREEK NEAR THE MOUTH",17.9127
"08DB014",38.61,80.62,38.61,44.7,0.96,0.96,0.53,"KSEDIN TRIBUTARY NO. 2 CREEK NEAR NEW AIYANSH",17.9136
"08HA016",-2.65,-61.23,20.65,27.42,0.95,0.97,0.89,"BINGS CREEK NEAR THE MOUTH",18.234
"12157250",16.57,48.7,18.16,25.42,0.93,0.92,-3.96,"MISSION CREEK NEAR TULALIP, WA",20.7972
"08HE010",-97.14,-219.33,116.12,131.96,0.83,0.79,0.27,"MCKELVIE CREEK ABOVE INTAKE",21.2607
"08DB013",30.57,63.99,30.57,35.23,0.97,0.99,0.71,"ANSEDAGAN CREEK NEAR NEW AIYANSH",22.4154
"08GE003",-13.31,-200.85,48,71.21,0.97,0.94,0.94,"ICY CREEK NEAR THE MOUTH",23.2335
"08HF012",17.23,120.48,55.99,71.65,0.9,0.83,0.8,"PUGH CREEK NEAR NAHWITTI LAKE",25.4277
"08HA070",-82.29,-330.07,97.68,145.21,0.89,0.87,0.6,"HARRIS CREEK NEAR LAKE COWICHAN",27.9153
"12115500",-40.86,-143.88,48.57,63.03,0.89,0.76,0.63,"REX RIVER NEAR CEDAR FALLS, WA",34.7184
"08HE009",-241.25,-586.3,241.25,292.2,0.9,0.91,0.02,"KLASKISH RIVER NEAR KLASKINO INLET",36.8676
"08GF006",-6.86,-156.38,53.02,69.94,0.71,0.78,0.46,"MCALISTER CREEK AT THOMPSON SOUND",37.1925
"08HB086",-167.27,-518.06,173.89,232.22,0.8,0.85,0.11,"TOFINO CREEK NEAR THE MOUTH",38.9178
"08DB010",12.75,49.49,23.76,27.29,0.97,0.98,0.9,"LIME CREEK NEAR THE MOUTH",39.5055
"08HB075",-9.27,-60.77,22.5,29.79,0.96,0.94,0.9,"DOVE CREEK NEAR THE MOUTH",42.4764
"12117000",0.29,29.41,18.59,20.35,0.98,0.99,0.92,"TAYLOR CREEK NEAR SELLECK, WA",44.8536
"08GA077",-56.58,-213.33,78.77,103.59,0.6,0.52,-0.14,"SEYMOUR RIVER BELOW ORCHID CREEK",60.0255
"08HF006",-49.62,-197.29,74.61,97.73,0.92,0.9,0.7,"SAN JOSEF RIVER BELOW SHARP CREEK",66.3678
"12114500",-4.7,-127.49,41.98,58.39,0.78,0.69,0.55,"CEDAR RIVER BELOW BEAR CREEK NEAR CEDAR FALLS, WA",66.5559
"12178100",-5.53,-51.49,25.25,29.62,0.94,0.9,0.87,"NEWHALEM CREEK NEAR NEWHALEM, WA",69.6834
"12108500",5.91,23.97,14.61,15.86,0.99,0.99,0.73,"NEWAUKUM CREEK NEAR BLACK DIAMOND, WA",71.0765
"11476600",-22.51,-107.26,36.77,51.56,0.96,0.97,0.82,"BULL C NR WEOTT CA",71.8443
"08OB002",-34.73,-147.29,55.26,70.83,0.91,0.89,0.78,"PALLANT CREEK NEAR QUEEN CHARLOTTE",81.2151
"08GA079",-66.62,-219.66,92.74,111.55,0.62,0.57,-0.12,"SEYMOUR RIVER ABOVE LAKEHEAD",82.0332
"08HB025",9.38,-129.5,45.13,60.29,0.77,0.73,0.5,"BROWNS RIVER NEAR COURTENAY",88.1865
"08HB089",-4.47,49.45,25.43,29.05,0.93,0.93,0.87,"TSOLUM RIVER BELOW MUREX CREEK",90.9846
"08FB009",37.88,136.05,71.17,81.18,0.94,0.91,-0.49,"CLAYTON FALLS CREEK NEAR THE MOUTH",92.4831
"08HB032",1.65,-38.33,16.85,19.69,0.97,0.98,0.93,"MILLSTONE RIVER AT NANAIMO",97.6563
"12115000",-8.26,-111.85,37.27,52,0.83,0.66,0.63,"CEDAR RIVER NEAR CEDAR FALLS, WA",102.798
"12147500",-45.23,-85.66,48.44,55.38,0.95,0.87,0.71,"NORTH FORK TOLT RIVER NEAR CARNATION, WA",102.893
"12025700",-65.27,-145.18,65.27,82.33,0.95,0.93,0.3,"SKOOKUMCHUCK RIVER NEAR VAIL, WA",103.303
"11481200",5.4,-49.2,18.12,23.8,0.96,0.93,0.92,"LITTLE R NR TRINIDAD CA",105.404
"08HB024",-16.11,-85.56,34.04,44.15,0.89,0.8,0.77,"TSABLE RIVER NEAR FANNY BAY",106.383
"12143400",-15.95,-115.85,43.49,60.1,0.81,0.75,0.61,"SF SNOQUALMIE RIVER AB ALICE CREEK NEAR GARCIA, WA",107.896
"08EE008",3.07,16.32,5.73,7.69,0.98,0.97,0.96,"GOATHORN CREEK NEAR TELKWA",121.361
"12179900",-74.34,-180.1,76.75,92.34,0.82,0.75,-0.08,"BACON CREEK BELOW OAKES CREEK NEAR MARBLEMOUNT, WA",128.331
"12010000",-32.76,-151.54,45.49,67.44,0.95,0.96,0.83,"NASELLE RIVER NEAR NASELLE, WA",142.182
"08GB013",-54.29,-164.18,62.84,80.76,0.89,0.86,0.56,"CLOWHOM RIVER NEAR CLOWHOM LAKE",146.213
"12056500",-58.44,-165.69,66.53,81.79,0.9,0.92,0.54,"NF SKOKOMISH R BL STAIRCASE RPDS NR HOODSPORT, WA",146.971
"08FB004",-42.55,-73.26,43.49,48.2,0.93,0.94,0.41,"SALLOOMT RIVER NEAR HAGENSBORG",155.743
"08HB014",-81.17,-306.23,92.18,133.55,0.95,0.94,0.67,"SARITA RIVER NEAR BAMFIELD",161.977
"12143600",-13.27,-96.02,41.09,53.09,0.84,0.8,0.67,"SF SNOQUALMIE RIVER AT EDGEWICK, WA",165.007
"12142000",-12.27,95.45,43.43,52.44,0.85,0.7,0.68,"NF SNOQUALMIE RIVER NEAR SNOQUALMIE FALLS, WA",165.646
"12054000",-25.52,-136.33,47.14,59.79,0.8,0.79,0.3,"DUCKABUSH RIVER NEAR BRINNON, WA",171.675
"11481500",52.65,105.51,52.65,62.89,0.99,0.99,0.38,"REDWOOD C NR BLUE LAKE CA",175.148
"08FF003",-58.9,-160.3,62.11,74.92,0.94,0.92,0.65,"LITTLE WEDEENE RIVER BELOW BOWBYES CREEK",179.916
"08HE006",-39.08,-151.08,66.62,76.73,0.91,0.95,0.76,"ZEBALLOS RIVER NEAR ZEBALLOS",181.116
"08HC002",-58.09,-154.58,73.24,83.52,0.83,0.78,0.35,"UCONA RIVER AT THE MOUTH",188.406
"12060500",-57.63,-168.21,61.75,80.89,0.95,0.97,0.79,"SOUTH FORK SKOKOMISH RIVER NEAR UNION, WA",198.272
"12083000",-0.26,-32.06,11.1,14.32,0.99,0.97,0.97,"MINERAL CREEK NEAR MINERAL, WA",198.787
"12094000",-23.88,-87.76,29.77,39.54,0.7,0.67,0.19,"CARBON RIVER NEAR FAIRFAX, WA",205.224
"12095000",14.12,43.73,15.23,20.84,0.97,0.91,0.71,"SOUTH PRAIRIE CREEK AT SOUTH PRAIRIE, WA",205.835
"12144000",-22.55,-103.28,40.11,49.53,0.86,0.78,0.6,"SF SNOQUALMIE RIVER AT NORTH BEND, WA",210.106
"08HB074",-34.66,-166.82,60.26,75.39,0.66,0.5,0.13,"CRUICKSHANK RIVER NEAR THE MOUTH",212.172
"08DA005",-25.59,-212.58,46.52,76.27,0.93,0.97,0.84,"SURPRISE CREEK NEAR THE MOUTH",221.336
"14309500",-11.31,-70.76,19.8,27.91,0.96,0.92,0.86,"WEST FORK COW CREEK NEAR GLENDALE, OR",224.921
"08HA003",5.99,-58.6,27.89,32.41,0.96,0.97,0.91,"KOKSILAH RIVER AT COWICHAN STATION",229.15
"08DB011",-61.2,-230.09,61.2,89.99,0.95,0.94,0.73,"KITSAULT RIVER ABOVE KLAYDUC CREEK",240.789
"12092000",-21.17,-58.32,27.02,31.52,0.73,0.78,0.15,"PUYALLUP RIVER NEAR ELECTRON, WA",240.881
"11480390",26.88,62.32,26.88,33.38,0.98,0.98,0.79,"MAD R AB RUTH RES NR FOREST GLEN CA",242.598
"08HD015",0.1,82.73,38.49,47.92,0.78,0.74,0.44,"SALMON RIVER ABOVE CAMPBELL LAKE DIVERSION",260.021
"08FB005",-18.04,-50.58,21.91,26.11,0.98,0.99,0.92,"NUSATSUM RIVER NEAR HAGENSBORG",271.482
"12175500",-3.94,-45.18,23.7,27.54,0.97,0.94,0.93,"THUNDER CREEK NEAR NEWHALEM, WA",273.821
